Name;Time
Aircraft parked;19:36:09
Chocks on;19:36:27
Cargo door open;19:38:03
Bridge connected;19:38:30
Container out;19:39:09
Container out;19:39:39
Container out;19:40:09
Container out;19:40:39
Container out;19:41:09
Fueling started;19:41:17
Container out;19:41:39
Container out;19:43:00
Container out;19:43:45
Door open;19:44:30
Door open;19:45:00
Cargo door open;19:52:00
Door closed;19:53:15
Container in;19:58:21
Fueling ended;19:58:45
Container in;19:59:30
Container in;20:00:51
Door closed;20:01:15
Container in;20:02:00
Cargo door closed;20:04:15
Cargo door closed;20:15:45
Pushback connected;20:31:12
Chocks off;20:32:00
Bridge disconnected;20:48:00
Pushback started;20:53:45
